date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,WS2M
2020-11-03,28.18,32.93,24.35,0.44,77.98,18.02,1.97
2020-11-04,27.7,31.2,25.28,2.89,81.78,15.86,1.61
2020-11-05,27.57,32.12,24.61,6.52,78.55,14.7,1.77
2020-11-06,26.78,29.72,24.91,5.19,86.8,16.57,2.08
2020-11-07,27.11,30.27,25.08,2.39,84.72,20.3,2.56
2020-11-08,26.9,29.8,24.97,4.91,84.21,14.7,3.17
2020-11-09,26.96,31.96,23.57,0.08,75.67,20.15,3.85
2020-11-10,26.23,31.45,20.9,0.23,75.87,16.33,3.42
2020-11-11,26.4,30.92,22.16,4.12,80.69,11.86,3.47
2020-11-12,26.71,29.51,24.86,11.28,88.08,15.5,2.17
2020-11-13,26.77,29.88,24.57,21.74,87.7,5.52,2.42
2020-11-14,27.03,30.64,24.73,9.07,85.43,17.72,3.52
2020-11-15,26.69,29.17,24.97,14.66,91.68,8.92,2.88
2020-11-16,25.99,27.81,24.67,25.47,92.47,8.98,2.26
2020-11-17,26.25,29.82,24.04,16.53,88.09,11.41,2.24
2020-11-18,26.49,30.12,24.02,6.97,87.0,16.7,1.89
2020-11-19,26.32,29.94,23.81,1.37,86.33,15.58,2.11
2020-11-20,26.24,30.19,23.68,1.0,83.05,20.61,2.65
2020-11-21,25.45,29.72,22.27,0.09,81.03,21.56,2.78
2020-11-22,25.12,29.22,21.8,0.07,79.96,17.64,2.3
2020-11-23,25.15,28.91,21.97,0.64,84.89,12.29,3.58
2020-11-24,25.02,28.36,22.69,7.3,91.12,5.67,4.08
2020-11-25,25.44,28.04,23.16,10.57,88.59,2.29,5.01
2020-11-26,25.42,28.72,22.76,81.05,88.29,11.8,5.22
2020-11-27,26.03,29.21,23.58,13.24,87.28,16.8,1.98
2020-11-28,26.01,29.32,23.88,1.83,88.1,15.05,2.03
2020-11-29,25.9,28.72,24.07,1.66,89.33,15.58,2.69
2020-11-30,25.99,29.38,23.86,3.29,86.93,12.8,3.7
2020-12-01,25.15,28.83,21.9,1.45,84.0,15.21,3.72
2020-12-02,24.97,28.32,22.01,40.52,89.02,4.73,5.23
2020-12-03,24.98,26.89,24.1,84.28,93.4,3.62,4.57
2020-12-04,25.58,27.01,24.51,57.0,94.38,1.68,4.47
2020-12-05,25.48,26.96,24.21,22.46,94.79,3.43,3.58
2020-12-06,25.05,26.56,23.85,20.67,94.23,9.78,3.61
2020-12-07,25.96,28.63,24.33,13.08,91.11,6.91,2.9
2020-12-08,25.83,28.57,24.19,8.8,90.81,15.19,2.45
2020-12-09,25.38,28.74,23.29,3.08,89.73,12.66,2.61
2020-12-10,24.45,28.14,21.76,0.17,86.23,19.51,2.4
2020-12-11,24.02,27.76,21.28,0.07,85.34,19.78,2.33
2020-12-12,24.04,28.18,21.17,0.12,86.39,16.95,2.39
2020-12-13,23.9,28.38,20.33,0.01,82.54,17.41,2.11
2020-12-14,23.83,27.81,20.61,0.04,82.42,19.63,2.25
2020-12-15,24.41,27.83,21.6,3.61,87.28,12.76,3.17
2020-12-16,24.44,26.42,22.54,42.18,93.68,5.25,3.37
2020-12-17,24.99,26.83,23.62,17.29,93.62,7.97,2.69
2020-12-18,24.45,26.47,23.04,25.18,93.25,8.17,3.09
2020-12-19,24.21,26.9,22.33,3.32,88.36,12.49,3.79
2020-12-20,24.14,27.51,21.92,0.16,85.38,16.56,3.78
2020-12-21,23.3,26.68,20.89,0.06,87.05,15.08,3.55
2020-12-22,23.04,26.47,20.39,0.14,87.67,15.67,3.18
2020-12-23,23.33,26.61,20.58,0.16,88.29,16.75,2.69
2020-12-24,23.66,27.46,20.9,0.05,86.71,17.26,2.82
2020-12-25,23.53,27.51,20.86,0.14,84.83,18.0,2.72
2020-12-26,22.89,27.19,18.98,0.02,83.5,18.95,2.75
2020-12-27,23.48,27.73,19.61,0.17,86.39,18.97,3.39
2020-12-28,23.44,27.34,20.25,0.05,85.65,15.99,3.18
2020-12-29,23.97,27.91,20.81,4.16,89.55,7.12,3.31
2020-12-30,24.79,28.16,22.27,9.71,91.33,10.76,3.89
2020-12-31,25.06,27.91,22.8,12.01,90.22,13.42,3.84
2021-01-01,23.73,27.06,21.46,0.69,86.51,15.56,3.16
2021-01-02,24.02,27.61,20.81,5.14,91.02,7.51,3.51
2021-01-03,24.88,27.95,22.85,10.89,91.27,7.38,3.27
2021-01-04,25.24,28.42,23.06,2.7,88.44,12.2,3.32
2021-01-05,24.77,27.02,23.47,6.95,92.74,9.61,2.39
2021-01-06,24.94,27.12,23.37,11.58,94.46,7.99,2.34
2021-01-07,25.19,27.88,23.21,7.12,92.46,12.81,2.27
2021-01-08,25.8,29.06,23.85,10.24,90.65,12.72,2.21
2021-01-09,25.02,26.98,23.8,4.59,92.91,13.42,2.49
2021-01-10,24.74,26.79,23.31,9.02,92.9,9.14,2.69
2021-01-11,24.76,26.94,23.09,42.72,94.12,7.43,3.12
2021-01-12,24.85,26.47,23.6,31.73,94.4,5.29,3.42
2021-01-13,25.03,27.62,23.6,13.16,90.74,8.73,3.59
2021-01-14,24.91,27.78,22.68,17.59,91.31,11.57,3.2
2021-01-15,24.68,27.14,22.98,11.75,90.93,12.08,2.98
2021-01-16,24.4,28.15,21.49,0.49,89.3,17.63,2.71
2021-01-17,22.82,26.89,19.4,0.02,87.83,17.99,2.35
2021-01-18,22.87,27.14,19.0,0.01,84.7,18.46,2.7
2021-01-19,23.68,27.81,19.79,0.01,83.78,18.66,2.58
2021-01-20,24.22,27.56,21.18,0.95,89.54,11.1,2.82
2021-01-21,25.61,29.64,22.87,0.64,90.28,16.98,1.94
2021-01-22,25.58,29.36,22.77,0.08,89.19,16.91,2.0
2021-01-23,24.42,28.33,21.6,0.01,88.07,17.43,2.11
2021-01-24,23.92,28.19,20.89,0.0,84.44,18.7,2.05
2021-01-25,23.66,28.13,20.4,0.0,86.02,20.42,2.02
2021-01-26,23.01,27.59,19.23,0.01,82.9,20.73,2.24
2021-01-27,23.11,27.38,19.21,0.03,79.96,18.69,2.11
2021-01-28,23.71,27.93,20.7,0.03,83.13,17.99,2.79
